Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
AMJB,"Alerian MLP Index ETNs due January 28, 2044",Equity,"$708,422,000",3.22%,"45,303",$30.46,0.79%,No,False,-1.04%,-0.07%,11.41%,N/A,N/A,"-$124,366,500.00",$0.00,$0.00,"-$124,366,500.00","$544,043,450.09","$544,043,450.09",MLPs,2024-01-26,0.85%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,0,N/A,40%,20%,1099,$29.97,$31.15,N/A,N/A,49.63,A,B-,N/A,B-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PSI,Invesco Semiconductors ETF,Equity,"$707,942,000",7.89%,"44,702",$62.44,3.77%,No,False,4.89%,1.20%,17.85%,18.77%,18.91%,"-$49,147,210.00","-$9,561,700.00","-$14,485,940.00","-$147,060,680.00","-$171,669,926.43","$64,228,613.57",Technology Equities,2005-06-23,0.56%,N/A,$0.08,2025-06-23,$0.04,0.13%,13.39,1.39,31,47.41%,40%,20%,1099,$58.53,$62.79,$61.19,$63.07,60.33,B,B,A,C+,B,C+,6.47,51.35%,51.98%,37.89,0.00%,8.70%
FFSM,Fidelity Fundamental Small-Mid Cap ETF,Equity,"$707,325,000",5.66%,"52,484",$28.31,2.68%,No,False,2.56%,2.38%,12.14%,10.49%,N/A,"$611,547,836.10","-$1,382,604.93","$2,803,394.63","$637,439,914.95","$674,683,136.21","$701,821,383.71",N/A,2021-02-02,0.43%,N/A,$0.19,2025-06-20,$0.04,0.66%,N/A,N/A,191,14.43%,40%,20%,1099,$27.26,$28.18,$27.90,$28.51,61.62,A-,B+,B+,C+,B-,N/A,6.22,67.99%,42.06%,92.87,2.32%,5.73%
ABFL,Abacus FCF Leaders ETF,Equity,"$705,974,000",4.10%,"15,444",$68.91,0.97%,No,False,0.55%,-0.01%,15.23%,12.75%,14.31%,"$39,399,500.00",$0.00,"$7,063,250.00","$248,759,750.00","$411,970,000.00","$446,065,500.00",N/A,2016-09-27,0.49%,N/A,$0.54,2025-06-27,$0.12,0.79%,N/A,N/A,63,29.47%,40%,20%,1099,$67.85,$71.47,N/A,N/A,47.73,N/A,N/A,N/A,N/A,N/A,N/A,7.21,96.55%,81.17%,20.26,4.80%,2.81%
PSEP,Innovator U.S. Equity Power Buffer ETF - September,Equity,"$701,299,000",7.25%,"31,569",$41.92,0.38%,No,False,1.09%,1.85%,11.42%,12.63%,9.56%,"-$259,051,330.00","-$11,474,020.00","-$30,180,825.00","-$38,759,197.50","$201,878,620.00","$372,359,462.50",Volatility Hedged Equity,2019-09-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.48,1,100.00%,40%,20%,1099,$41.15,$41.90,$41.85,$41.96,68.29,A-,C+,N/A,A-,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UDOW,ProShares UltraPro Dow30,Equity,"$698,345,000",1.81%,"2,054,394",$95.46,3.07%,No,3x,2.11%,-0.44%,23.30%,17.11%,20.78%,"-$195,088,465.00","$23,492,225.00","$8,588,915.00","-$4,341,520.00","-$299,277,745.00","-$757,759,437.50",Leveraged Equities,2010-02-11,0.95%,N/A,$1.21,2025-06-25,$0.44,1.26%,0.00,2.91,34,55.08%,40%,20%,1099,$90.79,$99.88,$93.90,$96.40,53.74,A,A-,B-,B+,B+,A-,6.55,70.68%,55.21%,22.41,11.70%,2.51%
TPYP,Tortoise North American Pipeline Fund,Equity,"$695,843,000",5.44%,"41,331",$35.25,-0.03%,No,False,-0.51%,0.83%,22.82%,15.17%,20.51%,"$19,147,471.00","-$3,171,879.00","-$3,171,879.00","-$3,072,939.00","-$41,453,029.00","$37,486,111.00",MLPs,2015-06-30,0.40%,N/A,$1.39,2025-06-26,$0.35,3.93%,0.06,1.09,45,59.84%,40%,20%,1099,$34.72,$35.69,$35.04,$35.39,51.06,B,B,N/A,N/A,A,B,7.97,98.57%,97.21%,782.54,7.23%,0.72%
ISCG,iShares Morningstar Small-Cap Growth ETF,Equity,"$692,547,000",5.09%,"33,013",$51.82,2.53%,No,False,1.91%,3.21%,16.05%,8.65%,6.36%,"$46,424,420.70",$0.00,$0.00,"$71,482,398.45","$178,240,624.05","$306,331,269.69",Small Cap Growth Equities,2004-06-28,0.06%,N/A,$0.44,2025-06-16,$0.08,0.87%,17.70,1.09,941,6.29%,40%,20%,1099,$50.10,$51.77,$51.10,$52.19,60.54,N/A,B,N/A,N/A,N/A,N/A,5.66,26.90%,28.55%,89.24,4.33%,5.84%
HEZU,iShares Currency Hedged MSCI Eurozone ETF,Equity,"$692,298,000",16.48%,"41,800",$40.87,0.27%,No,False,1.93%,0.73%,22.82%,16.69%,14.49%,"$300,275,290.00","$2,033,260.00","-$3,991,450.00","$214,325,735.00","$235,424,565.00","-$53,034,105.00",Europe Equities,2014-07-09,0.53%,N/A,$1.10,2025-07-02,$0.86,2.72%,13.23,0.91,3,100.00%,40%,20%,1099,$39.82,$41.19,$40.75,$40.93,55.00,A-,B-,A,B-,B,C,7.77,41.43%,94.51%,94.39,21.72%,5.47%
BGDV,Bahl & Gaynor Dividend ETF,Equity,"$691,996,000",6.92%,"8,450",$25.89,1.09%,No,False,1.24%,2.18%,N/A,N/A,N/A,"-$36,248,900.00","$24,339,000.00","$24,597,800.00","$3,155,900.00","$3,155,900.00","$3,155,900.00",N/A,2024-12-11,0.45%,N/A,$0.19,2025-07-30,$0.02,0.76%,N/A,N/A,54,39.52%,40%,20%,1099,$25.23,$26.01,$25.89,$25.89,60.59,N/A,N/A,N/A,N/A,N/A,N/A,6.91,85.68%,70.33%,204.57,5.84%,2.02%
SPEU,SPDR Portfolio Europe ETF,Equity,"$689,743,000",25.16%,"247,909",$48.77,1.01%,No,False,2.35%,0.41%,20.83%,15.30%,11.21%,"-$44,014,797.80",$0.00,$0.00,"$248,351,053.70","$313,865,491.65","$400,817,118.15",Europe Equities,2002-10-15,0.07%,N/A,$1.41,2025-06-23,$0.87,2.90%,11.94,0.95,1792,15.94%,40%,20%,1099,$47.08,$49.48,$48.50,$48.90,56.04,A-,N/A,A-,A-,B+,N/A,7.68,25.76%,92.83%,80.98,14.76%,5.56%
DBEU,Xtrackers MSCI Europe Hedged Equity ETF,Equity,"$688,919,000",12.59%,"80,183",$44.94,0.42%,No,False,1.46%,0.73%,14.48%,13.09%,12.78%,"$84,388,750.00",$0.00,"$19,979,750.00","$96,923,950.00","$19,325,050.00","-$26,108,200.00",Europe Equities,2013-10-01,0.45%,N/A,$1.42,2025-06-20,$1.42,3.18%,0.04,0.76,406,19.10%,40%,20%,1099,$44.00,$45.36,$44.74,$45.12,54.87,A-,B+,A,A-,B+,A,7.71,28.92%,93.28%,82.21,15.45%,4.85%
AMDL,GraniteShares 2x Long AMD Daily ETF,Equity,"$686,758,000",62.92%,"38,910,936",$12.48,2.97%,No,False,-0.48%,38.82%,13.25%,N/A,N/A,"$153,836,900.00","$6,312,100.00","$77,739,500.00","$465,536,187.07","$615,644,287.07","$615,644,287.07",N/A,2024-03-04,1.15%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,1,100.00%,40%,20%,1099,$9.53,$13.76,$11.87,$12.79,62.89,A,C,N/A,C,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SEIV,SEI Enhanced U.S. Large Cap Value Factor ETF,Equity,"$684,750,000",12.97%,"56,931",$37.08,1.84%,No,False,3.32%,2.86%,24.42%,15.76%,N/A,"$116,917,868.44","$4,524,067.14","$32,459,831.26","$129,506,238.32","$534,102,788.97","$549,451,035.47",Large Cap Value Equities,2022-05-18,0.15%,N/A,$0.60,2025-07-07,$0.15,1.60%,0.00,1.13,114,27.47%,40%,20%,1099,$35.49,$36.84,$36.71,$37.26,65.43,B,A-,A,B,C+,N/A,6.31,51.71%,46.04%,70.05,12.30%,4.94%
EWH,iShares MSCI Hong Kong ETF,Equity,"$684,065,000",29.93%,"3,361,684",$21.19,0.95%,No,False,1.73%,5.48%,43.17%,4.07%,2.88%,"-$82,697,310.00",$0.00,"$7,799,700.00","$25,935,060.00","-$38,681,670.00","-$650,304,015.00",Asia Pacific Equities,1996-03-12,0.50%,N/A,$0.76,2025-06-16,$0.42,3.77%,19.77,0.57,28,69.03%,40%,20%,1099,$20.13,$21.37,$21.06,$21.28,65.71,A,B+,B-,A,B,C+,6.76,87.04%,64.54%,303.61,10.30%,10.44%
RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Equity,"$682,303,000",-2.34%,"95,630",$28.51,1.10%,No,False,1.10%,-1.76%,-6.45%,0.34%,4.40%,"-$108,661,880.00","-$5,348,120.00","-$15,967,070.00","-$175,860,820.00","-$251,481,190.00","-$179,073,250.00",Health & Biotech Equities,2006-11-01,0.40%,N/A,$0.22,2025-06-23,$0.06,0.78%,N/A,N/A,62,19.55%,40%,20%,1099,$27.45,$29.41,$28.26,$28.66,49.51,B,A-,B-,B,B+,N/A,7.12,94.13%,78.35%,13.47,0.00%,14.13%
AVLC,Avantis U.S. Large Cap Equity ETF,Equity,"$681,800,000",9.98%,"25,669",$73.88,1.50%,No,False,2.24%,2.83%,21.75%,N/A,N/A,"$166,301,038.00",$0.00,"$5,816,908.00","$244,058,784.00","$401,129,312.00","$401,129,312.00",N/A,2023-09-26,0.15%,N/A,$0.76,2025-06-24,$0.20,1.05%,N/A,N/A,946,29.89%,40%,20%,1099,$71.53,$73.78,$73.41,$74.11,64.61,A-,A,N/A,B,B,N/A,6.29,48.89%,45.12%,125.82,10.13%,7.45%
IHF,iShares U.S. Healthcare Providers ETF,Equity,"$676,061,000",-9.62%,"420,831",$43.23,1.57%,No,False,3.74%,-4.40%,-20.81%,-7.70%,1.59%,"$84,605,615.00","$10,377,470.40","$106,287,544.55","$74,758,310.25","-$579,510,754.75","-$379,641,343.45",Health & Biotech Equities,2006-05-01,0.38%,N/A,$0.45,2025-06-16,$0.06,1.03%,19.86,0.81,65,72.09%,40%,20%,1099,$40.77,$44.17,$42.70,$43.51,46.03,A-,B+,B+,B+,B+,B,6.62,63.07%,58.76%,10.45,0.00%,0.65%
FTQI,First Trust Nasdaq BuyWrite Income ETF,Equity,"$675,494,000",4.65%,"246,447",$20.31,0.69%,No,False,2.06%,4.59%,16.47%,10.54%,9.08%,"$147,047,900.00","$4,027,800.00","$26,726,050.00","$263,837,450.00","$662,482,916.00","$668,078,117.50",Large Cap Blend Equities,2014-01-06,0.76%,N/A,$2.40,2025-07-22,$0.20,11.81%,25.91,0.52,190,48.79%,40%,20%,1099,$19.36,$20.28,$20.23,$20.36,72.60,B+,C+,B-,A,N/A,N/A,6.08,57.82%,37.65%,88.12,8.02%,9.53%
BIDD,iShares International Dividend Active ETF,Equity,"$675,286,000",10.55%,"137,566",$26.96,0.86%,No,False,2.04%,-0.48%,N/A,N/A,N/A,"-$98,840,240.00","-$6,432,384.00","-$17,386,864.00","-$131,359,736.00","-$131,359,736.00","-$131,359,736.00",N/A,2024-11-15,0.61%,N/A,$0.35,2025-06-16,$0.31,1.29%,N/A,N/A,45,35.37%,40%,20%,1099,$26.16,$27.53,$26.80,$27.04,51.92,N/A,N/A,N/A,N/A,N/A,N/A,7.71,91.84%,93.26%,96.86,11.18%,3.15%
NUGT,Direxion Daily Gold Miners Index Bull 2x Shares,Equity,"$674,001,000",160.54%,"1,057,662",$91.33,1.56%,No,2x,5.94%,21.64%,112.01%,44.11%,1.99%,"-$384,423,950.00","-$9,103,500.00","-$49,494,350.00","-$347,728,200.00","-$511,639,450.00","-$610,578,900.01",Leveraged Equities,2010-12-08,1.13%,N/A,$0.50,2025-06-24,$0.04,0.70%,0.04,1.98,2,100.00%,40%,20%,1099,$66.26,$93.09,$89.65,$92.22,64.25,A-,C,C,B,C+,B+,6.35,63.35%,47.38%,249.86,0.78%,0.00%
RSPN,Invesco S&P 500 Equal Weight Industrials ETF,Equity,"$670,126,000",10.98%,"61,503",$55.46,1.48%,No,False,0.96%,1.09%,20.91%,16.10%,16.35%,"-$24,471,320.00",$0.00,"$6,109,690.00","-$6,596,100.00","$127,740,770.00","-$4,161,250.00",Industrials Equities,2006-11-01,0.40%,N/A,$0.51,2025-06-23,$0.12,0.92%,N/A,N/A,80,15.47%,40%,20%,1099,$54.05,$56.20,$55.02,$55.68,57.87,B+,A-,A-,C+,B+,N/A,6.92,80.32%,70.75%,89.07,19.63%,4.20%
PMAR,Innovator U.S. Equity Power Buffer ETF - March,Equity,"$663,275,000",7.41%,"38,206",$43.17,0.54%,No,False,1.10%,1.77%,14.42%,11.28%,9.49%,"$96,115,190.00","-$2,151,155.00","-$6,422,445.00","-$24,378,137.50","$251,740,910.00","$411,578,445.00",Volatility Hedged Equity,2020-03-02,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.40,2,100.00%,40%,20%,1099,$42.41,$43.12,$43.07,$43.23,67.45,B,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DWAS,Invesco Dorsey Wright SmallCap Momentum ETF,Equity,"$661,484,000",-3.64%,"28,342",$87.90,2.92%,No,False,2.99%,5.22%,3.32%,4.90%,9.35%,"-$287,720,550.00",$0.00,"-$3,293,620.00","-$219,832,650.00","$192,210,120.00","$278,993,660.00",Small Cap Growth Equities,2012-07-19,0.60%,Charles Schwab,$0.65,2025-06-23,$0.01,0.74%,18.01,1.14,202,14.05%,40%,20%,1099,$83.22,$86.68,$86.64,$88.53,61.76,B+,C+,B+,C,C,C+,4.96,2.03%,19.42%,47.57,4.92%,5.33%
PNOV,Innovator U.S. Equity Power Buffer ETF - November,Equity,"$659,431,000",6.83%,"30,164",$40.46,0.62%,No,False,1.16%,1.89%,11.04%,10.71%,8.53%,"-$196,888,182.50","-$10,013,182.50","-$16,010,847.50","-$77,121,270.00","$253,423,685.00","$364,365,542.50",Volatility Hedged Equity,2019-11-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.47,2,100.00%,40%,20%,1099,$39.70,$40.38,$40.33,$40.52,69.49,B,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
INDY,iShares India 50 ETF,Equity,"$659,107,000",1.40%,"92,231",$51.55,0.25%,No,False,0.23%,-3.82%,-3.56%,6.32%,11.02%,"-$251,890,265.00","-$12,851,520.00","-$25,805,095.00","-$232,741,560.00","-$25,141,830.00","-$190,779,640.00",Asia Pacific Equities,2009-11-18,0.65%,Fidelity,$0.08,2024-12-17,$0.08,0.16%,21.54,0.70,51,55.59%,40%,20%,1099,$50.64,$53.88,$51.39,$51.65,40.27,A-,C,C,C+,C,B-,6.01,86.01%,35.74%,520.53,8.02%,4.46%
KRMA,Global X Conscious Companies ETF,Equity,"$658,424,000",7.17%,"11,666",$41.73,1.14%,No,False,2.11%,2.05%,16.16%,12.57%,12.90%,"-$5,048,589.94","-$21,769.08","-$578,530.41","-$61,562,639.78","-$239,450,736.49","$116,229,927.50",Large Cap Growth Equities,2016-07-11,0.43%,N/A,$0.37,2025-06-27,$0.16,0.89%,17.30,1.03,152,29.89%,40%,20%,1099,$40.49,$41.87,$41.70,$41.80,61.90,B,B,C+,B+,B,B,6.96,92.59%,72.26%,42.95,7.12%,8.68%
CGNG,Capital Group New Geography Equity ETF,Equity,"$657,989,000",18.73%,"284,111",$29.41,1.45%,No,False,2.30%,2.51%,21.32%,N/A,N/A,"$496,689,104.16","$12,701,750.20","$43,817,816.76","$563,074,607.76","$602,088,663.04","$602,088,663.04",N/A,2024-06-25,0.64%,N/A,$0.07,2024-12-26,$0.07,0.23%,N/A,N/A,214,27.22%,40%,20%,1099,$28.44,$29.32,$29.23,$29.50,63.45,N/A,B,N/A,N/A,N/A,N/A,6.47,75.73%,52.21%,114.09,11.21%,3.67%
SEIE,SEI Select International Equity ETF,Equity,"$657,485,000",28.17%,"60,433",$30.04,1.18%,No,False,3.08%,4.05%,N/A,N/A,N/A,"$34,777,753.33","$11,051,965.46","$27,063,800.02","$550,246,066.45","$550,246,066.45","$550,246,066.45",N/A,2024-10-10,0.50%,N/A,$0.56,2025-07-07,$0.36,1.85%,N/A,N/A,337,10.90%,40%,20%,1099,$28.51,$30.06,$29.83,$30.20,62.97,N/A,N/A,N/A,N/A,N/A,N/A,7.48,44.08%,88.33%,114.84,14.35%,6.11%
DPST,Direxion Daily Regional Banks Bull 3X Shares,Equity,"$654,433,000",-13.82%,"842,752",$93.49,10.70%,No,3x,8.32%,-8.34%,18.42%,-33.53%,-5.43%,"-$16,620,800.00","$7,973,600.00","$62,800,050.00","-$208,467,600.00","$51,120,370.05","-$18,225,479.95",Leveraged Equities,2015-08-19,0.90%,N/A,$1.79,2025-06-24,$0.61,1.75%,0.05,2.99,146,46.92%,40%,20%,1099,$77.65,$107.80,$88.59,$96.00,53.06,B+,A,N/A,C+,A-,A-,5.09,6.81%,21.13%,5.57,0.00%,2.68%
AUSF,Global X Adaptive U.S. Factor ETF,Equity,"$653,322,000",9.33%,"85,953",$45.01,0.94%,No,False,1.49%,-0.07%,15.94%,16.76%,17.34%,"$274,625,366.49","-$80,550,002.93","$2,308,948.31","$333,342,961.55","$391,188,661.32","$372,374,228.11",All Cap Equities,2018-08-24,0.27%,N/A,$1.30,2025-08-07,$0.30,2.88%,14.42,0.92,195,16.74%,40%,20%,1099,$43.87,$45.40,$44.73,$45.15,56.65,B+,A-,B-,A,A-,N/A,6.33,53.31%,46.54%,212.37,11.06%,3.70%
EQAL,Invesco Russell 1000 Equal Weight ETF,Equity,"$651,911,000",5.17%,"45,102",$50.34,1.55%,No,False,0.98%,0.42%,13.79%,6.60%,10.56%,"$14,152,225.00","-$2,492,700.00","-$6,327,375.00","$15,921,950.00","-$73,046,475.00","$22,184,675.00",All Cap Equities,2014-12-23,0.20%,N/A,$0.86,2025-06-23,$0.21,1.71%,17.68,1.11,999,5.69%,40%,20%,1099,$49.16,$51.24,$49.94,$50.54,55.91,A-,A-,B+,B,B+,A,6.28,70.93%,44.77%,260.56,8.77%,7.01%
WSML,iShares MSCI World Small-Cap ETF,Equity,"$651,829,000",N/A,"60,922",$28.95,1.97%,No,False,2.06%,2.37%,N/A,N/A,N/A,"$585,395,240.00","$11,336,160.00","$39,463,940.00","$585,395,240.00","$585,395,240.00","$585,395,240.00",N/A,2025-04-01,0.30%,N/A,$0.09,2025-06-16,$0.08,0.29%,N/A,N/A,3196,2.32%,40%,20%,1099,$27.98,$28.95,$28.67,$29.09,62.55,N/A,N/A,N/A,N/A,N/A,N/A,6.08,26.32%,37.53%,130.43,4.87%,8.18%
KOKU,Xtrackers MSCI Kokusai Equity ETF,Equity,"$651,095,000",13.48%,"3,487",$112.99,1.15%,No,False,2.23%,2.12%,22.91%,16.27%,14.43%,"-$31,587,830.00",$0.00,"-$20,086,740.00","-$28,526,580.00","-$109,258,130.00","$135,388,090.00",Large Cap Growth Equities,2020-04-08,0.09%,N/A,$1.69,2025-06-20,$0.60,1.50%,0.06,1.02,1144,28.30%,40%,20%,1099,$109.73,$112.86,$112.99,$112.99,63.81,B-,A,N/A,A-,C+,N/A,6.59,26.17%,56.96%,96.99,12.38%,7.35%
FDD,First Trust STOXX European Select Dividend Index Fund,Equity,"$650,128,000",47.28%,"464,048",$16.22,1.31%,No,False,4.31%,3.64%,45.43%,19.42%,13.80%,"$412,193,200.00",$0.00,"$29,580,550.00","$407,649,300.00","$358,692,400.00","$359,302,300.00",Europe Equities,2007-08-27,0.59%,N/A,$0.74,2025-06-26,$0.26,4.78%,5.26,0.94,32,42.62%,40%,20%,1099,$15.17,$16.21,$16.15,$16.27,64.99,A-,C+,B+,A,A-,C+,7.48,9.57%,88.14%,116.13,5.89%,5.89%
HLAL,Wahed FTSE USA Shariah ETF,Equity,"$649,891,000",7.42%,"72,258",$56.54,1.40%,No,False,3.46%,4.38%,15.91%,13.82%,15.03%,"$35,676,170.00",$0.00,$0.00,"$84,983,875.00","$322,086,460.00","$434,057,495.00",Large Cap Growth Equities,2019-07-16,0.50%,N/A,$0.36,2025-06-25,$0.02,0.63%,0.05,1.05,210,56.36%,40%,20%,1099,$53.76,$56.13,$56.15,$56.74,68.41,B-,B-,N/A,B+,B,N/A,6.02,12.24%,35.84%,57.39,1.62%,3.08%
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,Equity,"$647,776,000",36.00%,"17,156,456",$19.04,1.12%,No,False,5.25%,20.89%,78.24%,N/A,N/A,"-$241,275,372.98","-$44,638,739.20","-$114,783,656.20","-$253,840,203.80","$122,666,716.38","$122,666,716.38",N/A,2023-10-19,1.05%,N/A,$2.17,2024-12-24,$2.17,11.39%,N/A,N/A,3,100.00%,40%,20%,1099,$16.18,$19.27,$18.53,$19.31,67.30,A,C,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PLTY,YieldMax PLTR Option Income Strategy ETF,Equity,"$644,205,000",88.91%,"567,178",$77.96,1.91%,No,False,5.24%,22.37%,N/A,N/A,N/A,"$476,163,902.50","-$28,400,110.00","-$162,028,955.00","$542,483,680.00","$542,483,680.00","$542,483,680.00",N/A,2024-10-07,1.44%,N/A,$40.90,2025-07-17,$2.56,60.76%,N/A,N/A,9,100.00%,40%,20%,1099,$62.18,$78.45,$76.68,$78.79,72.01,N/A,N/A,N/A,N/A,N/A,N/A,5.78,46.92%,30.62%,1.56,0.00%,0.00%
SMDV,ProShares Russell 2000 Dividend Growers ETF,Equity,"$641,840,000",-0.41%,"20,603",$66.61,2.89%,No,False,2.20%,-0.66%,4.91%,4.30%,7.83%,"-$36,598,612.00",$0.00,"-$2,636,154.00","-$38,190,768.00","-$159,093,326.00","-$104,390,041.46",Small Cap Blend Equities,2015-02-05,0.40%,N/A,$1.74,2025-06-25,$0.38,2.63%,17.34,0.78,108,11.29%,40%,20%,1099,$63.94,$67.24,$65.58,$67.13,55.58,N/A,B,N/A,N/A,A,N/A,5.42,14.26%,25.16%,202.79,1.80%,5.76%
DOL,WisdomTree International LargeCap Dividend Fund,Equity,"$640,452,000",26.74%,"23,408",$61.38,1.12%,No,False,3.00%,3.25%,25.98%,16.45%,11.97%,"$49,246,200.00","$3,021,000.00","$5,958,500.00","$38,872,260.00","$94,846,545.00","$105,624,515.00",Foreign Large Cap Equities,2006-06-16,0.48%,E*TRADE,$1.79,2025-06-25,$0.98,3.05%,9.83,0.78,278,18.26%,40%,20%,1099,$58.31,$61.43,$61.06,$61.55,62.42,B+,B-,C+,B-,B+,B+,7.62,90.29%,91.68%,110.21,16.27%,4.17%
TAN,Invesco Solar ETF,Equity,"$640,394,000",11.35%,"933,452",$36.88,0.77%,No,False,1.15%,-3.20%,-5.60%,-25.00%,-5.66%,"-$209,893,920.00",$0.00,"-$12,165,760.00","-$237,007,760.00","-$890,536,400.00","$623,952,800.00",Alternative Energy Equities,2008-04-15,0.71%,N/A,$0.17,2024-12-23,$0.16,0.44%,19.12,1.36,31,59.85%,40%,20%,1099,$35.58,$39.92,$36.59,$37.07,51.85,A,B-,A+,C,B-,C+,6.45,50.91%,51.42%,411.62,0.00%,62.69%
DIV,Global X SuperDividend U.S. ETF,Equity,"$638,889,000",1.40%,"161,163",$17.56,1.27%,No,False,0.52%,-1.47%,6.12%,1.15%,8.33%,"$30,319,543.73","$986,726.95","-$1,052,257.93","$30,473,519.37","$24,667,830.97","$190,220,357.69",Volatility Hedged Equity,2013-03-11,0.45%,2 Platforms,$1.16,2025-08-05,$0.11,6.54%,10.91,1.02,51,25.56%,40%,20%,1099,$17.26,$17.88,$17.44,$17.63,50.71,A-,C+,C,A-,A,C,5.06,1.19%,20.86%,435.57,13.87%,4.01%
MSSM,Morgan Stanley Pathway Small-Mid Cap Equity ETF,Equity,"$637,497,000",3.46%,"19,158",$48.50,2.75%,No,False,2.08%,1.85%,N/A,N/A,N/A,"$78,385,415.00",$0.00,$0.00,"$68,958,255.00","$68,958,255.00","$68,958,255.00",N/A,2024-12-09,0.57%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,2317,9.16%,40%,20%,1099,$46.80,$48.65,$47.74,$48.88,59.62,N/A,N/A,N/A,N/A,N/A,N/A,6.18,64.78%,40.43%,123.33,4.62%,6.71%
PMAY,Innovator U.S. Equity Power Buffer ETF - May,Equity,"$637,345,000",6.85%,"22,339",$38.37,0.29%,No,False,0.66%,1.10%,12.65%,9.57%,7.03%,"$69,631,517.50","-$2,864,355.00","-$4,762,800.00","-$4,841,807.50","$56,661,800.00","$404,661,612.50",Volatility Hedged Equity,2020-05-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.45,2,100.00%,40%,20%,1099,$37.85,$38.36,$38.31,$38.42,67.29,B-,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IUS,Invesco RAFI Strategic US ETF,Equity,"$634,949,000",6.93%,"54,767",$52.67,1.23%,No,False,1.95%,1.01%,13.75%,12.63%,15.98%,"-$21,667,925.00","$6,505,175.00","-$30,450.00","$52,585,275.00","$365,145,075.00","$324,995,800.00",Large Cap Blend Equities,2018-09-12,0.19%,N/A,$0.82,2025-06-23,$0.21,1.56%,17.04,0.96,548,27.93%,40%,20%,1099,$51.26,$52.88,$52.36,$52.83,60.11,B+,A-,B+,B+,B,N/A,6.15,21.31%,39.61%,102.54,12.60%,4.19%
LABU,Direxion Daily S&P Biotech Bull 3x Shares,Equity,"$633,084,000",-28.99%,"1,869,784",$63.58,6.14%,No,3x,0.08%,-2.24%,-47.00%,-34.20%,-42.84%,"$34,969,900.00","$5,670,700.00","$12,353,900.00","$51,861,400.00","$141,389,672.32","$1,920,854,572.32",Leveraged Equities,2015-05-28,0.93%,N/A,$0.33,2025-06-24,$0.22,0.49%,0.00,3.00,122,45.45%,40%,20%,1099,$58.95,$67.27,$61.29,$64.79,53.04,A,B-,N/A,C,C,C+,5.03,5.24%,20.47%,33.59,0.00%,16.87%
QQQJ,Invesco NASDAQ Next Gen 100 ETF,Equity,"$631,787,000",9.43%,"66,616",$33.65,1.78%,No,False,0.66%,4.08%,23.44%,8.60%,N/A,"-$66,094,920.00","-$334,440.00","-$6,261,630.00","-$108,334,700.00","-$384,833,180.00","$589,623,630.00",Large Cap Growth Equities,2020-10-13,0.15%,N/A,$0.21,2025-06-23,$0.09,0.64%,17.78,1.10,111,20.03%,40%,20%,1099,$32.44,$33.94,$33.32,$33.82,62.88,A-,A-,N/A,C+,C,N/A,6.56,84.70%,55.73%,169.9,5.18%,13.02%
ECH,iShares MSCI Chile ETF,Equity,"$631,198,000",30.42%,"370,948",$31.97,1.59%,No,False,5.65%,4.79%,27.58%,9.69%,8.49%,"$36,198,485.00","$9,014,350.00","$9,014,350.00","$13,807,140.00","$137,316,225.00","$135,818,990.00",Foreign Large Cap Equities,2007-11-12,0.60%,N/A,$0.76,2025-06-16,$0.67,2.50%,5.39,0.91,27,67.77%,40%,20%,1099,$29.17,$31.50,$31.66,$32.16,62.25,A,C+,C,C,B-,B-,6.0,24.24%,35.44%,318.99,4.21%,9.19%
